Gender,Percentile,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79
Men,11.9,19570.505,19478.545,19694,19724,19922.346,20309.162,20730.793,21651.207,22581.374,24319.53,26749.08,28247.164
Men,12,19555.4,19465.2,19675,19700.92,19896.08,20281.76,20692.88,21615.24,22556.52,24261.64,26718.76,28226.72
Men,12.1,19539,19440,19656,19672.618,19873.442,20255.074,20666.829,21590.171,22526.996,24241.81,26701.936,28202.748
Men,12.2,19523.38,19424.42,19633,19647,19844,20230.956,20645.334,21557.222,22493.496,24223.428,26671.328,28162.936
Men,12.3,19498.17,19401.765,19613,19629,19814.564,20194.554,20617.727,21526.273,22460.916,24183.05,26622.512,28133.39
Men,12.4,19476.98,19385.82,19596.288,19612.184,19790.016,20172,20597,21499.324,22431.208,24151.88,26572.48,28125.32
Men,12.5,19446.875,19363.875,19575,19592,19772.75,20157,20577.625,21471,22399,24105.25,26529,28095.75
Men,12.6,19420.77,19346.93,19556.712,19569,19754.484,20136.348,20563.574,21442.426,22362,24052.096,26488.448,28041.412
Men,12.7,19402.665,19329,19536,19546.566,19732.218,20117,20541,21424.385,22337.542,24036.788,26457.696,28018.37
Men,12.8,19384.56,19307.08,19512,19521.448,19711,20095,20513.944,21412,22309.128,24029.216,26439.504,28015.68
Men,12.9,19368,19287,19493,19500,19691,20072.284,20495.421,21382.579,22284.672,23983.306,26394.128,27983.644
Men,13,19351.35,19263.15,19468,19476.08,19663.42,20046.74,20467.37,21349.26,22257.98,23948,26345.32,27941.68
Men,13.1,19322.245,19238,19449.772,19453,19641.154,20024.338,20448.638,21320.724,22234.126,23916.364,26304.928,27933.176
Men,13.2,19302,19219,19429.984,19437,19617.888,20006.936,20427.268,21296.196,22203.36,23896,26218.64,27927.832
Men,13.3,19278.035,19203.315,19400.196,19416.514,19593.622,19971.068,20404,21271.566,22165.418,23871.942,26158.68,27888.558
Men,13.4,19261,19187,19382,19397.172,19577,19939,20371.166,21246.834,22145.948,23833.184,26086.256,27853.608
Men,13.5,19233.825,19164,19359.24,19377,19550.09,19922.73,20349,21218.77,22117.71,23790.98,26072.96,27839.62
Men,13.6,19217.88,19147,19345.832,19355.488,19531.648,19893.328,20322.064,21192.936,22088.568,23766.904,26046.272,27815.888
Men,13.7,19198.615,19127,19327.044,19338.292,19511,19878.926,20304.013,21171.987,22044.048,23721.57,26020.848,27770.696
Men,13.8,19181.51,19103.59,19307,19319.804,19490.292,19855.048,20284,21142.304,22028,23684.06,25919.48,27743.804
Men,13.9,19161.81,19081.645,19287,19296.462,19469,19836.122,20267,21127,22005.294,23665,25870.336,27738.962
Men,14,19148,19057.7,19264,19274.24,19444.76,19812.72,20239.72,21113.28,21994.88,23607.08,25805.4,27722.28
Men,14.1,19126.39,19033,19245,19251,19410.494,19796,20205.618,21095.191,21974.586,23588.34,25787.896,27697.532
Men,14.2,19109.09,19011.81,19224,19233,19385,19775.916,20178,21071.242,21924.464,23566.908,25758.544,27681.1
Men,14.3,19088,18988.865,19204,19212,19363.962,19761.514,20159.414,21052.586,21893.634,23549.866,25704.552,27667.65
